census n=4 ensemble=mixed shard=a0  (0 already recorded) -> census_n4_mixed_a0.jsonl
   26050 recorded, 31 unevaluable, 506.9/min
   26100 recorded, 31 unevaluable, 507.0/min
   26150 recorded, 31 unevaluable, 507.1/min
   26200 recorded, 31 unevaluable, 507.2/min
   26250 recorded, 31 unevaluable, 507.4/min
   26300 recorded, 31 unevaluable, 507.5/min
   26350 recorded, 31 unevaluable, 507.8/min
   26400 recorded, 31 unevaluable, 507.8/min
   26450 recorded, 32 unevaluable, 507.9/min
   26500 recorded, 32 unevaluable, 507.9/min
   26550 recorded, 32 unevaluable, 508.0/min
   26600 recorded, 32 unevaluable, 508.2/min
   26650 recorded, 32 unevaluable, 508.3/min
   26700 recorded, 32 unevaluable, 508.3/min
   26750 recorded, 32 unevaluable, 508.2/min
   26800 recorded, 32 unevaluable, 508.6/min
   26850 recorded, 32 unevaluable, 509.0/min
   26900 recorded, 32 unevaluable, 509.4/min
   26950 recorded, 32 unevaluable, 509.7/min
   27000 recorded, 34 unevaluable, 510.0/min
   27050 recorded, 34 unevaluable, 510.3/min
   27100 recorded, 34 unevaluable, 510.5/min
   27150 recorded, 34 unevaluable, 510.8/min
   27200 recorded, 34 unevaluable, 511.2/min
   27250 recorded, 34 unevaluable, 511.6/min
   27300 recorded, 34 unevaluable, 511.9/min
   27350 recorded, 34 unevaluable, 512.3/min
   27400 recorded, 34 unevaluable, 512.6/min
   27450 recorded, 34 unevaluable, 512.9/min
   27500 recorded, 34 unevaluable, 513.3/min
   27550 recorded, 34 unevaluable, 513.7/min
   27600 recorded, 36 unevaluable, 514.0/min
   27650 recorded, 36 unevaluable, 514.4/min
   27700 recorded, 36 unevaluable, 514.8/min
   27750 recorded, 36 unevaluable, 515.2/min
   27800 recorded, 36 unevaluable, 515.6/min
   27850 recorded, 36 unevaluable, 516.0/min
   27900 recorded, 36 unevaluable, 516.5/min
   27950 recorded, 36 unevaluable, 516.9/min
   28000 recorded, 36 unevaluable, 517.2/min
   28050 recorded, 36 unevaluable, 517.6/min
   28100 recorded, 36 unevaluable, 518.0/min
   28150 recorded, 36 unevaluable, 518.4/min
   28200 recorded, 37 unevaluable, 518.8/min
   28250 recorded, 38 unevaluable, 519.2/min
   28300 recorded, 38 unevaluable, 519.6/min
   28350 recorded, 38 unevaluable, 520.0/min
   28400 recorded, 38 unevaluable, 520.4/min
   28450 recorded, 38 unevaluable, 520.8/min
   28500 recorded, 38 unevaluable, 521.2/min
